unitary
"Operator([[0.47415988-0.25903472j, 0.45921339+0.70512161j],
          [0.34522532+0.76739357j, 0.47415988-0.25903472j]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.47415988-0.25903472j, -0.64033025+0.5459401j ],
          [ 0.80536466-0.24384663j,  0.47415988-0.25903472j]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.47415988-0.25903472j, -0.72407284-0.42870962j],
          [ 0.03047152-0.84091908j,  0.47415988-0.25903472j]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.47415988-0.25903472j, -0.35205527-0.76428431j],
          [-0.4529068 -0.70918887j,  0.47415988-0.25903472j]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.47415988-0.25903472j,  0.51892184-0.66241494j],
          [-0.83777761+0.07875335j,  0.47415988-0.25903472j]],
         input_dims=(2,), output_dims=(2,))"
