unitary
"Operator([[ 0.79938141-0.2399973j , -0.20843826+0.50984719j],
          [ 0.45479755+0.31072471j,  0.79938141-0.2399973j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.79938141-0.2399973j , -0.33894201-0.4341762j ],
          [ 0.04374339-0.54906937j,  0.79938141-0.2399973j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.79938141-0.2399973j , -0.1569738 +0.52796769j],
          [ 0.42182465+0.35419574j,  0.79938141-0.2399973j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.79938141-0.2399973j ,  0.44132742+0.32957665j],
          [-0.18681184+0.51816213j,  0.79938141-0.2399973j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.79938141-0.2399973j , -0.35347691-0.4224272j ],
          [ 0.06234613-0.54726924j,  0.79938141-0.2399973j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.79938141-0.2399973j ,  0.02213527-0.55036414j],
          [-0.32162036-0.44715881j,  0.79938141-0.2399973j ]],
         input_dims=(2,), output_dims=(2,))"
