unitary
"Operator([[ 0.97517033-0.0978434j , -0.19786431+0.01786663j],
          [ 0.19746975-0.02179908j,  0.97517033-0.0978434j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.97517033-0.0978434j , -0.19102351+0.054585j  ],
          [ 0.19806012+0.01554642j,  0.97517033-0.0978434j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.97517033-0.0978434j , -0.19486419+0.03869688j],
          [ 0.19866777-0.00078802j,  0.97517033-0.0978434j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.97517033-0.0978434j ,  0.17671695+0.09077787j],
          [-0.1551596 +0.12407659j,  0.97517033-0.0978434j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.97517033-0.0978434j ,  0.05061128-0.19211455j],
          [-0.08776969-0.17823014j,  0.97517033-0.0978434j ]],
         input_dims=(2,), output_dims=(2,))"
