,unitary
0,"Operator([[ 0.91492755-0.33189438j,  0.2210857 -0.05612803j,
            0.02497017-0.01004767j],
          [-0.22704442+0.02191059j,  0.94652183+0.00616j   ,
            0.2210857 -0.05612803j],
          [ 0.02683462-0.00209005j, -0.22704442+0.02191059j,
            0.91492755-0.33189438j]],
         input_dims=(3,), output_dims=(3,))"
1,"Operator([[ 0.92590294-0.33446731j, -0.16937851-0.04360705j,
            0.01274296+0.00907296j],
          [ 0.14466715-0.09829584j,  0.96891994+0.00358282j,
           -0.16937851-0.04360705j],
          [ 0.00738886-0.01378791j,  0.14466715-0.09829584j,
            0.92590294-0.33446731j]],
         input_dims=(3,), output_dims=(3,))"
2,"Operator([[ 0.91336365-0.33152759j, -0.19597742+0.12897921j,
            0.01420485-0.02473337j],
          [ 0.22804037+0.05513957j,  0.94333018+0.0065269j ,
           -0.19597742+0.12897921j],
          [ 0.02371365+0.01584866j,  0.22804037+0.05513957j,
            0.91336365-0.33152759j]],
         input_dims=(3,), output_dims=(3,))"
3,"Operator([[ 0.9024005 -0.32895514j, -0.15490741+0.22777805j,
           -0.01029487-0.03842802j],
          [ 0.22278542+0.16200558j,  0.92095546+0.00909671j,
           -0.15490741+0.22777805j],
          [ 0.00785467+0.03900002j,  0.22278542+0.16200558j,
            0.9024005 -0.32895514j]],
         input_dims=(3,), output_dims=(3,))"
4,"Operator([[ 0.90482194-0.3295235j , -0.21643003-0.15645633j,
            0.0075682 +0.03651994j],
          [ 0.15080198-0.22040713j,  0.92589749+0.00852946j,
           -0.21643003-0.15645633j],
          [-0.00944794-0.03607935j,  0.15080198-0.22040713j,
            0.90482194-0.3295235j ]],
         input_dims=(3,), output_dims=(3,))"
5,"Operator([[ 0.9317883 -0.33584614j,  0.12602338-0.05480805j,
            0.00730614-0.00622466j],
          [-0.13713186-0.00898146j,  0.98092993+0.00219925j,
            0.12602338-0.05480805j],
          [ 0.00931015+0.00233389j, -0.13713186-0.00898146j,
            0.9317883 -0.33584614j]],
         input_dims=(3,), output_dims=(3,))"
6,"Operator([[ 0.9366553 -0.33698595j, -0.00899296+0.09494884j,
           -0.00438902-0.0013756j ],
          [ 0.04055956+0.08631963j,  0.99086153+0.00105425j,
           -0.00899296+0.09494884j],
          [-0.00332228+0.00318091j,  0.04055956+0.08631963j,
            0.9366553 -0.33698595j]],
         input_dims=(3,), output_dims=(3,))"
7,"Operator([[ 0.90716552-0.33007349j, -0.09107106+0.2420559j ,
           -0.02343373-0.02584719j],
          [ 0.16753327+0.19702182j,  0.93068057+0.00798026j,
           -0.09107106+0.2420559j ],
          [-0.00950899+0.03356778j,  0.16753327+0.19702182j,
            0.90716552-0.33007349j]],
         input_dims=(3,), output_dims=(3,))"
8,"Operator([[ 0.92378533-0.33397104j, -0.18637484-0.00556265j,
            0.01754755+0.00309222j],
          [ 0.17352328-0.06823631j,  0.96459852+0.00408036j,
           -0.18637484-0.00556265j],
          [ 0.01434918-0.01056313j,  0.17352328-0.06823631j,
            0.92378533-0.33397104j]],
         input_dims=(3,), output_dims=(3,))"
9,"Operator([[ 0.92834654-0.33503987j,  0.06705446-0.14578133j,
           -0.00734803-0.01088514j],
          [-0.11238632-0.11453301j,  0.97390654+0.00300849j,
            0.06705446-0.14578133j],
          [-0.0017508 +0.01301594j, -0.11238632-0.11453301j,
            0.92834654-0.33503987j]],
         input_dims=(3,), output_dims=(3,))"
