unitary
"Operator([[ 0.94460909-0.1427637j , -0.27275102+0.11375004j],
          [ 0.29418444+0.02806613j,  0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.94460909-0.1427637j ,  0.1552469 -0.25145694j],
          [-0.22262364-0.19434739j,  0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.94460909-0.1427637j , -0.27532989-0.10735754j],
          [ 0.23130637-0.18392813j,  0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.94460909-0.1427637j , -0.295485  -0.00456135j],
          [ 0.28093964-0.09167941j,  0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.94460909-0.1427637j , -0.28199121-0.08839204j],
          [ 0.24327485-0.16777824j,  0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
