,unitary
0,"Operator([[ 0.93808822-0.15016617j,  0.27978232+0.13842856j],
          [-0.22259081+0.21884685j,  0.93808822-0.15016617j]],
         input_dims=(2,), output_dims=(2,))"
1,"Operator([[ 0.93808822-0.15016617j, -0.31137145+0.02210055j],
          [ 0.3027114 -0.07619987j,  0.93808822-0.15016617j]],
         input_dims=(2,), output_dims=(2,))"
2,"Operator([[0.93808822-0.15016617j, 0.04934058+0.30823063j],
          [0.04934058+0.30823063j, 0.93808822-0.15016617j]],
         input_dims=(2,), output_dims=(2,))"
3,"Operator([[ 0.93808822-0.15016617j, -0.30926186-0.04239947j],
          [ 0.28057324-0.1368184j ,  0.93808822-0.15016617j]],
         input_dims=(2,), output_dims=(2,))"
4,"Operator([[ 0.93808822-0.15016617j, -0.0961912 -0.29696442j],
          [-0.00131422-0.31215203j,  0.93808822-0.15016617j]],
         input_dims=(2,), output_dims=(2,))"
5,"Operator([[ 0.93808822-0.15016617j, -0.2660907 -0.16320648j],
          [ 0.20184879-0.23811274j,  0.93808822-0.15016617j]],
         input_dims=(2,), output_dims=(2,))"
6,"Operator([[ 0.93808822-0.15016617j, -0.00664154-0.31208413j],
          [-0.09110888-0.29856287j,  0.93808822-0.15016617j]],
         input_dims=(2,), output_dims=(2,))"
