,unitary
0,"Operator([[ 0.9318629 -0.1567647j , -0.19025452-0.26619464j],
          [ 0.09268486-0.31379275j,  0.9318629 -0.1567647j ]],
         input_dims=(2,), output_dims=(2,))"
1,"Operator([[ 0.9318629 -0.1567647j ,  0.32693328-0.0130767j ],
          [-0.3132165 +0.09461391j,  0.9318629 -0.1567647j ]],
         input_dims=(2,), output_dims=(2,))"
2,"Operator([[ 0.9318629 -0.1567647j ,  0.2494    +0.21179238j],
          [-0.16637492+0.28173704j,  0.9318629 -0.1567647j ]],
         input_dims=(2,), output_dims=(2,))"
3,"Operator([[ 0.9318629 -0.1567647j ,  0.14082969+0.29533603j],
          [-0.03644561+0.32515856j,  0.9318629 -0.1567647j ]],
         input_dims=(2,), output_dims=(2,))"
4,"Operator([[ 0.9318629 -0.1567647j , -0.23470441+0.22796975j],
          [ 0.29637606+0.13862756j,  0.9318629 -0.1567647j ]],
         input_dims=(2,), output_dims=(2,))"
5,"Operator([[ 0.9318629 -0.1567647j , -0.21794175+0.24404459j],
          [ 0.28579567+0.15930224j,  0.9318629 -0.1567647j ]],
         input_dims=(2,), output_dims=(2,))"
6,"Operator([[ 0.9318629 -0.1567647j , -0.21970783-0.24245585j],
          [ 0.12828418-0.30099757j,  0.9318629 -0.1567647j ]],
         input_dims=(2,), output_dims=(2,))"
7,"Operator([[ 0.9318629 -0.1567647j , -0.2486706 -0.2126483j ],
          [ 0.16540562-0.28230719j,  0.9318629 -0.1567647j ]],
         input_dims=(2,), output_dims=(2,))"
8,"Operator([[ 0.9318629 -0.1567647j ,  0.00231978-0.32718647j],
          [-0.10924577-0.30841811j,  0.9318629 -0.1567647j ]],
         input_dims=(2,), output_dims=(2,))"
9,"Operator([[ 0.9318629 -0.1567647j , -0.0884022 +0.31502606j],
          [ 0.18661113+0.26876134j,  0.9318629 -0.1567647j ]],
         input_dims=(2,), output_dims=(2,))"
