unitary
"Operator([[ 0.85030065-0.2171174j , -0.06269196+0.47530892j],
          [ 0.2828926 +0.38706669j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j , -0.17259642-0.44727991j],
          [-0.0629698 -0.47527219j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[0.85030065-0.2171174j , 0.03630118+0.47804924j],
          [0.19733173+0.43693138j, 0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j ,  0.3177661 +0.35898963j],
          [-0.10675719+0.46738822j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j , -0.39021079-0.27853973j],
          [ 0.20890313-0.43151863j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j ,  0.21906144-0.42645156j],
          [-0.39669627-0.2692228j ,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j , -0.40673992+0.25379418j],
          [ 0.47862327+0.02772384j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j ,  0.46839077+0.10226892j],
          [-0.36202124+0.31430792j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j , -0.27323766+0.39394165j],
          [ 0.4286543 +0.21471921j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j , -0.26070088-0.40234798j],
          [ 0.03589065-0.47808023j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
