,unitary
0,"Operator([[ 0.85030065-0.2171174j , -0.19338585-0.4386921j ],
          [-0.04060815-0.47770265j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
1,"Operator([[ 0.85030065-0.2171174j , -0.4555916 +0.14928208j],
          [ 0.47138889-0.0874149j ,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
2,"Operator([[ 0.85030065-0.2171174j ,  0.01026582-0.47931562j],
          [-0.23880525-0.41571733j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
3,"Operator([[ 0.85030065-0.2171174j ,  0.2608263 -0.40226669j],
          [-0.42175354-0.22797544j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
4,"Operator([[ 0.85030065-0.2171174j ,  0.3085367 -0.36695225j],
          [-0.4466927 -0.17411052j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
5,"Operator([[ 0.85030065-0.2171174j , -0.43921166-0.19220292j],
          [ 0.29329751-0.37924322j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
6,"Operator([[ 0.85030065-0.2171174j ,  0.42994492-0.21212311j],
          [-0.4790094 +0.01997103j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
7,"Operator([[ 0.85030065-0.2171174j , -0.40116708-0.26251442j],
          [ 0.22620112-0.42270782j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
8,"Operator([[ 0.85030065-0.2171174j, -0.39900768+0.2657851j],
          [ 0.47758635+0.0419539j,  0.85030065-0.2171174j]],
         input_dims=(2,), output_dims=(2,))"
9,"Operator([[ 0.85030065-0.2171174j ,  0.24956929-0.40934584j],
          [-0.41526851-0.23958488j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
