,unitary
0,"Operator([[ 0.92502524-0.16355243j, -0.28074602+0.19687706j],
          [ 0.33123387+0.08867374j,  0.92502524-0.16355243j]],
         input_dims=(2,), output_dims=(2,))"
1,"Operator([[ 0.92502524-0.16355243j, -0.12349025-0.31988915j],
          [ 0.00631408-0.34283967j,  0.92502524-0.16355243j]],
         input_dims=(2,), output_dims=(2,))"
2,"Operator([[ 0.92502524-0.16355243j, -0.16245649-0.30197151j],
          [ 0.04906183-0.33936977j,  0.92502524-0.16355243j]],
         input_dims=(2,), output_dims=(2,))"
3,"Operator([[ 0.92502524-0.16355243j,  0.29959375-0.16680075j],
          [-0.33862581-0.05395803j,  0.92502524-0.16355243j]],
         input_dims=(2,), output_dims=(2,))"
4,"Operator([[ 0.92502524-0.16355243j, -0.31878849-0.12630442j],
          [ 0.2561517 -0.2279588j ,  0.92502524-0.16355243j]],
         input_dims=(2,), output_dims=(2,))"
5,"Operator([[ 0.92502524-0.16355243j, -0.04321004-0.34016437j],
          [-0.07605128-0.33435776j,  0.92502524-0.16355243j]],
         input_dims=(2,), output_dims=(2,))"
6,"Operator([[0.92502524-0.16355243j, 0.0597013 +0.33766057j],
          [0.0597013 +0.33766057j, 0.92502524-0.16355243j]],
         input_dims=(2,), output_dims=(2,))"
7,"Operator([[ 0.92502524-0.16355243j, -0.21365224-0.26820072j],
          [ 0.10873364-0.32520132j,  0.92502524-0.16355243j]],
         input_dims=(2,), output_dims=(2,))"
8,"Operator([[ 0.92502524-0.16355243j, -0.26377886+0.21908816j],
          [ 0.32291151+0.11535625j,  0.92502524-0.16355243j]],
         input_dims=(2,), output_dims=(2,))"
9,"Operator([[ 0.92502524-0.16355243j,  0.0790002 -0.3336733j ],
          [-0.18862648-0.2863546j ,  0.92502524-0.16355243j]],
         input_dims=(2,), output_dims=(2,))"
