,unitary
0,"Operator([[0.99230021-0.05518458j, 0.00615698+0.11071156j],
          [0.00615698+0.11071156j, 0.99230021-0.05518458j]],
         input_dims=(2,), output_dims=(2,))"
1,"Operator([[0.99230021-0.05518458j, 0.00615698+0.11071156j],
          [0.00615698+0.11071156j, 0.99230021-0.05518458j]],
         input_dims=(2,), output_dims=(2,))"
2,"Operator([[ 0.99230021-0.05518458j, -0.06740759+0.08804075j],
          [ 0.07675411+0.08002352j,  0.99230021-0.05518458j]],
         input_dims=(2,), output_dims=(2,))"
3,"Operator([[0.99230021-0.05518458j, 0.00615698+0.11071156j],
          [0.00615698+0.11071156j, 0.99230021-0.05518458j]],
         input_dims=(2,), output_dims=(2,))"
4,"Operator([[ 0.99230021-0.05518458j, -0.05093469+0.0984917j ],
          [ 0.06154162+0.09223658j,  0.99230021-0.05518458j]],
         input_dims=(2,), output_dims=(2,))"
5,"Operator([[ 0.99230021-0.05518458j, -0.04281608+0.10228265j],
          [ 0.05389343+0.09690437j,  0.99230021-0.05518458j]],
         input_dims=(2,), output_dims=(2,))"
6,"Operator([[0.99230021-0.05518458j, 0.00615698+0.11071156j],
          [0.00615698+0.11071156j, 0.99230021-0.05518458j]],
         input_dims=(2,), output_dims=(2,))"
7,"Operator([[0.99230021-0.05518458j, 0.00615698+0.11071156j],
          [0.00615698+0.11071156j, 0.99230021-0.05518458j]],
         input_dims=(2,), output_dims=(2,))"
8,"Operator([[0.99230021-0.05518458j, 0.00615698+0.11071156j],
          [0.00615698+0.11071156j, 0.99230021-0.05518458j]],
         input_dims=(2,), output_dims=(2,))"
9,"Operator([[0.99230021-0.05518458j, 0.00615698+0.11071156j],
          [0.00615698+0.11071156j, 0.99230021-0.05518458j]],
         input_dims=(2,), output_dims=(2,))"
