unitary
"Operator([[ 0.96135264-0.1207989j , -0.22340934+0.10628728j],
          [ 0.24275998+0.04771071j,  0.96135264-0.1207989j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.96135264-0.1207989j , -0.22337331+0.10636298j],
          [ 0.2427438 +0.04779297j,  0.96135264-0.1207989j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.96135264-0.1207989j , -0.22340053+0.10630581j],
          [ 0.24275602+0.04773084j,  0.96135264-0.1207989j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.96135264-0.1207989j , -0.22342118+0.10626239j],
          [ 0.24276529+0.04768366j,  0.96135264-0.1207989j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.96135264-0.1207989j , -0.22337841+0.10635227j],
          [ 0.24274609+0.04778133j,  0.96135264-0.1207989j ]],
         input_dims=(2,), output_dims=(2,))"
