,unitary
0,"Operator([[ 0.90789321-0.17879381j,  0.34687647+0.15309931j],
          [-0.26292632+0.27318939j,  0.90789321-0.17879381j]],
         input_dims=(2,), output_dims=(2,))"
1,"Operator([[ 0.90789321-0.17879381j,  0.33601819+0.17565438j],
          [-0.24432682+0.28994326j,  0.90789321-0.17879381j]],
         input_dims=(2,), output_dims=(2,))"
2,"Operator([[ 0.90789321-0.17879381j, -0.21403624+0.31297153j],
          [ 0.31672079+0.20844814j,  0.90789321-0.17879381j]],
         input_dims=(2,), output_dims=(2,))"
3,"Operator([[ 0.90789321-0.17879381j, -0.07594446-0.37147695j],
          [-0.07057563-0.37253425j,  0.90789321-0.17879381j]],
         input_dims=(2,), output_dims=(2,))"
4,"Operator([[ 0.90789321-0.17879381j,  0.28379259+0.25144474j],
          [-0.16726414+0.34027253j,  0.90789321-0.17879381j]],
         input_dims=(2,), output_dims=(2,))"
5,"Operator([[ 0.90789321-0.17879381j,  0.36488709-0.10305386j],
          [-0.37671526+0.04299185j,  0.90789321-0.17879381j]],
         input_dims=(2,), output_dims=(2,))"
6,"Operator([[ 0.90789321-0.17879381j,  0.2588494 -0.27705537j],
          [-0.3445698 -0.15822243j,  0.90789321-0.17879381j]],
         input_dims=(2,), output_dims=(2,))"
7,"Operator([[ 0.90789321-0.17879381j,  0.35252749+0.13959605j],
          [-0.27327527+0.26283705j,  0.90789321-0.17879381j]],
         input_dims=(2,), output_dims=(2,))"
8,"Operator([[ 0.90789321-0.17879381j, -0.32585575+0.19385748j],
          [ 0.3750275 +0.05583069j,  0.90789321-0.17879381j]],
         input_dims=(2,), output_dims=(2,))"
9,"Operator([[ 0.90789321-0.17879381j,  0.34233376+0.16300395j],
          [-0.25496735+0.28063203j,  0.90789321-0.17879381j]],
         input_dims=(2,), output_dims=(2,))"
