,unitary
0,"Operator([[ 0.94460909-0.1427637j ,  0.04340521-0.29231521j],
          [-0.12785163-0.26643227j,  0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
1,"Operator([[ 0.94460909-0.1427637j ,  0.10267936-0.27710854j],
          [-0.17998451-0.23438807j,  0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
2,"Operator([[ 0.94460909-0.1427637j ,  0.26397859+0.13284388j],
          [-0.21293033+0.20492161j,  0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
3,"Operator([[ 0.94460909-0.1427637j ,  0.27267815+0.11392462j],
          [-0.22683236+0.18941825j,  0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
4,"Operator([[ 0.94460909-0.1427637j ,  0.20770674+0.21021443j],
          [-0.13630721+0.26220705j,  0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
5,"Operator([[ 0.94460909-0.1427637j ,  0.29269737-0.04074855j],
          [-0.29166649+0.04756941j,  0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
6,"Operator([[ 0.94460909-0.1427637j ,  0.24174158+0.16998j   ],
          [-0.18071203+0.23382762j,  0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
7,"Operator([[ 0.94460909-0.1427637j ,  0.2773191 +0.10210931j],
          [-0.23475769+0.17950215j,  0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
8,"Operator([[ 0.94460909-0.1427637j ,  0.27250636-0.11433493j],
          [-0.29412355-0.02869719j,  0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
9,"Operator([[ 0.94460909-0.1427637j ,  0.18496097-0.23048131j],
          [-0.24481185-0.1655275j ,  0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
