unitary
"Operator([[0.99756022-0.03118391j, 0.00195154+0.06242882j],
          [0.00195154+0.06242882j, 0.99756022-0.03118391j]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.99756022-0.03118391j, -0.05102501-0.03602242j],
          [ 0.04867545-0.03913907j,  0.99756022-0.03118391j]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.99756022-0.03118391j, -0.05844059-0.02204232j],
          [ 0.05694974-0.02564944j,  0.99756022-0.03118391j]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.99756022-0.03118391j, -0.05699024-0.02555933j],
          [ 0.05528255-0.02906899j,  0.99756022-0.03118391j]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.99756022-0.03118391j, -0.0608209 -0.01421212j],
          [ 0.05981447-0.0179832j ,  0.99756022-0.03118391j]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.99756022-0.03118391j, -0.03916615+0.04865367j],
          [ 0.04212855+0.04611238j,  0.99756022-0.03118391j]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.99756022-0.03118391j, -0.05770566+0.02390029j],
          [ 0.05908578+0.02024937j,  0.99756022-0.03118391j]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.99756022-0.03118391j, -0.03530658-0.05152292j],
          [ 0.03201956-0.05362755j,  0.99756022-0.03118391j]],
         input_dims=(2,), output_dims=(2,))"
