num_of_intervals,total_time,drift_parameter,taylor_truncate_len,init_seed,target_state_seed,final_cost
8.0,3.0,1.0,20.0,4.0,8.0,-0.5892275731496053
8.0,3.0,1.0,20.0,5.0,8.0,-0.6031230053163359
8.0,3.0,1.0,20.0,6.0,8.0,-0.7653771393059571
8.0,3.0,1.0,20.0,7.0,8.0,-0.7718780476258967
8.0,3.0,1.0,20.0,8.0,8.0,-0.5872161836059643
8.0,3.0,1.0,20.0,9.0,8.0,-0.7906633663106815
8.0,3.0,1.0,20.0,0.0,9.0,-0.55116207549371
8.0,3.0,1.0,20.0,1.0,9.0,-0.539499116889337
8.0,3.0,1.0,20.0,2.0,9.0,-0.7547938725828273
8.0,3.0,1.0,20.0,3.0,9.0,-0.42163000021455965
8.0,3.0,1.0,20.0,4.0,9.0,-0.5318784388463262
8.0,3.0,1.0,20.0,5.0,9.0,-0.6022745677694912
8.0,3.0,1.0,20.0,6.0,9.0,-0.7547938725837635
8.0,3.0,1.0,20.0,7.0,9.0,-0.5740804265364625
8.0,3.0,1.0,20.0,8.0,9.0,-0.39738126870081225
8.0,3.0,1.0,20.0,9.0,9.0,-0.31337668205584074
8.0,4.0,1.0,20.0,0.0,0.0,-0.5245763156137533
8.0,4.0,1.0,20.0,1.0,0.0,-0.45876204914189095
8.0,4.0,1.0,20.0,2.0,0.0,-0.5011664953748897
8.0,4.0,1.0,20.0,3.0,0.0,-0.38119681200797084
8.0,4.0,1.0,20.0,4.0,0.0,-0.7004449517840766
8.0,4.0,1.0,20.0,5.0,0.0,-0.5934649954440613
8.0,4.0,1.0,20.0,6.0,0.0,-0.5043261131398615
8.0,4.0,1.0,20.0,7.0,0.0,-0.53278390573641
8.0,4.0,1.0,20.0,8.0,0.0,-0.6607937063990099
8.0,4.0,1.0,20.0,9.0,0.0,-0.5879336423649285
8.0,4.0,1.0,20.0,0.0,1.0,-0.4918734893904006
8.0,4.0,1.0,20.0,1.0,1.0,-0.49207568218962905
8.0,4.0,1.0,20.0,2.0,1.0,-0.47184877765103855
8.0,4.0,1.0,20.0,3.0,1.0,-0.21406958483442282
8.0,4.0,1.0,20.0,4.0,1.0,-0.558527128657476
8.0,4.0,1.0,20.0,5.0,1.0,-0.7101703911789758
8.0,4.0,1.0,20.0,6.0,1.0,-0.7003594690137911
8.0,4.0,1.0,20.0,7.0,1.0,-0.36317592405793053
8.0,4.0,1.0,20.0,8.0,1.0,-0.3242095033178768
8.0,4.0,1.0,20.0,9.0,1.0,-0.60413471506775
8.0,4.0,1.0,20.0,0.0,2.0,-0.5661466089449947
8.0,4.0,1.0,20.0,1.0,2.0,-0.4990440034964533
8.0,4.0,1.0,20.0,2.0,2.0,-0.6366912338516248
8.0,4.0,1.0,20.0,3.0,2.0,-0.8163318260894911
8.0,4.0,1.0,20.0,4.0,2.0,-0.4733843865392462
8.0,4.0,1.0,20.0,5.0,2.0,-0.5787213526223901
