,unitary
0,"Operator([[ 0.90789321-0.17879381j, -0.05002953-0.37584536j],
          [-0.09621185-0.36675055j,  0.90789321-0.17879381j]],
         input_dims=(2,), output_dims=(2,))"
1,"Operator([[ 0.90789321-0.17879381j,  0.2710345 -0.2651471j ],
          [-0.35132992-0.14258323j,  0.90789321-0.17879381j]],
         input_dims=(2,), output_dims=(2,))"
2,"Operator([[ 0.90789321-0.17879381j,  0.3442274 -0.15896599j],
          [-0.37879788-0.01657871j,  0.90789321-0.17879381j]],
         input_dims=(2,), output_dims=(2,))"
3,"Operator([[ 0.90789321-0.17879381j,  0.36283956-0.11004609j],
          [-0.37747179+0.03574538j,  0.90789321-0.17879381j]],
         input_dims=(2,), output_dims=(2,))"
4,"Operator([[0.90789321-0.17879381j, 0.07326195+0.37201529j],
          [0.07326195+0.37201529j, 0.90789321-0.17879381j]],
         input_dims=(2,), output_dims=(2,))"
5,"Operator([[ 0.90789321-0.17879381j, -0.02939866-0.37801906j],
          [-0.11612641-0.36093953j,  0.90789321-0.17879381j]],
         input_dims=(2,), output_dims=(2,))"
6,"Operator([[ 0.90789321-0.17879381j, -0.21144357-0.31472894j],
          [ 0.07632249-0.37139947j,  0.90789321-0.17879381j]],
         input_dims=(2,), output_dims=(2,))"
7,"Operator([[ 0.90789321-0.17879381j,  0.30384807-0.22680176j],
          [-0.36715428-0.09465949j,  0.90789321-0.17879381j]],
         input_dims=(2,), output_dims=(2,))"
8,"Operator([[ 0.90789321-0.17879381j, -0.34236359-0.16294127j],
          [ 0.25501873-0.28058535j,  0.90789321-0.17879381j]],
         input_dims=(2,), output_dims=(2,))"
9,"Operator([[ 0.90789321-0.17879381j,  0.37629958+0.04648996j],
          [-0.33057448+0.18569653j,  0.90789321-0.17879381j]],
         input_dims=(2,), output_dims=(2,))"
