unitary
"Operator([[ 0.85030065-0.2171174j , -0.04585955-0.47722715j],
          [-0.18854934-0.44079246j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[0.85030065-0.2171174j , 0.05237151+0.47655647j],
          [0.18251302+0.44332589j, 0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j ,  0.47933729-0.00919857j],
          [-0.42506807+0.22173403j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j , -0.06545708+0.47493601j],
          [ 0.28514045+0.38541377j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j ,  0.29825885-0.37535384j],
          [-0.44170098-0.18641107j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j ,  0.1324747 -0.46075948j],
          [-0.33715735-0.34084274j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j , -0.25985814+0.40289278j],
          [ 0.42120406+0.22898905j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j ,  0.19998739-0.43572226j],
          [-0.38440183-0.2865032j ,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j , -0.14794648-0.45602707j],
          [-0.08879577-0.47113072j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j ,  0.32536079+0.35212101j],
          [-0.11671515+0.46500153j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
