unitary
"Operator([[0.85030065-0.2171174j , 0.11861178+0.46452136j],
          [0.11861178+0.46452136j, 0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j , -0.43743993+0.19620182j],
          [ 0.47795382-0.03753658j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j ,  0.14370024-0.45738287j],
          [-0.34538985-0.33249766j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j ,  0.03871313-0.47785996j],
          [-0.26307224-0.4008015j ,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j ,  0.3505196 -0.32708539j],
          [-0.46442298-0.11899639j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j ,  0.44018711-0.18995829j],
          [-0.47737139+0.04433286j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
