unitary
"Operator([[ 0.85030065-0.2171174j , -0.10319498+0.46818762j],
          [ 0.31502321+0.36139898j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j , -0.44516294+0.17798542j],
          [ 0.47599798-0.05722558j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j , -0.42444187-0.22293037j],
          [ 0.26560427-0.39912807j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j ,  0.2031248 -0.43426854j],
          [-0.38645821-0.28372328j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j ,  0.37706715+0.29608986j],
          [-0.18895452+0.44061893j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j ,  0.24198694+0.41387337j],
          [-0.01394205+0.47922277j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j ,  0.40684403+0.25362726j],
          [-0.23544384+0.41763027j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
