unitary
"Operator([[ 0.97517033-0.0978434j , -0.01897202+0.19776139j],
          [ 0.05788296+0.19005017j,  0.97517033-0.0978434j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.97517033-0.0978434j , -0.04560545-0.19336403j],
          [ 0.00628087-0.19857002j,  0.97517033-0.0978434j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[0.97517033-0.0978434j , 0.01983384+0.19767681j],
          [0.01983384+0.19767681j, 0.97517033-0.0978434j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.97517033-0.0978434j ,  0.11731151+0.16033563j],
          [-0.08311932+0.18044579j,  0.97517033-0.0978434j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.97517033-0.0978434j , -0.1607104 -0.11679756j],
          [ 0.1343028 -0.14639761j,  0.97517033-0.0978434j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.97517033-0.0978434j ,  0.11545043-0.16168086j],
          [-0.14527014-0.13552155j,  0.97517033-0.0978434j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.97517033-0.0978434j , -0.16682426+0.10788498j],
          [ 0.18493232+0.0725916j ,  0.97517033-0.0978434j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.97517033-0.0978434j ,  0.18945472+0.05980311j],
          [-0.1737972 +0.09624987j,  0.97517033-0.0978434j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.97517033-0.0978434j , -0.11676083+0.16073709j],
          [ 0.14636692+0.13433625j,  0.97517033-0.0978434j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.97517033-0.0978434j , -0.09868255-0.17242754j],
          [ 0.0624594 -0.18859567j,  0.97517033-0.0978434j ]],
         input_dims=(2,), output_dims=(2,))"
