,unitary
0,"Operator([[ 0.99843817-0.02496616j,  0.04391241-0.02386666j],
          [-0.04505037-0.02164213j,  0.99843817-0.02496616j]],
         input_dims=(2,), output_dims=(2,))"
1,"Operator([[ 0.99843817-0.02496616j,  0.04720394-0.0164227j ],
          [-0.04796574-0.01404296j,  0.99843817-0.02496616j]],
         input_dims=(2,), output_dims=(2,))"
2,"Operator([[ 0.99843817-0.02496616j,  0.04942088-0.00744944j],
          [-0.04973143-0.00497011j,  0.99843817-0.02496616j]],
         input_dims=(2,), output_dims=(2,))"
3,"Operator([[ 0.99843817-0.02496616j,  0.04997588+0.00057357j],
          [-0.04988475+0.0030706j ,  0.99843817-0.02496616j]],
         input_dims=(2,), output_dims=(2,))"
4,"Operator([[0.99843817-0.02496616j, 0.00124935+0.04996355j],
          [0.00124935+0.04996355j, 0.99843817-0.02496616j]],
         input_dims=(2,), output_dims=(2,))"
5,"Operator([[ 0.99843817-0.02496616j,  0.04932932+0.00803342j],
          [-0.04886617+0.01048881j,  0.99843817-0.02496616j]],
         input_dims=(2,), output_dims=(2,))"
6,"Operator([[ 0.99843817-0.02496616j,  0.01080007-0.04879832j],
          [-0.01322548-0.04819755j,  0.99843817-0.02496616j]],
         input_dims=(2,), output_dims=(2,))"
7,"Operator([[ 0.99843817-0.02496616j,  0.04784947+0.01443419j],
          [-0.04706826+0.01680762j,  0.99843817-0.02496616j]],
         input_dims=(2,), output_dims=(2,))"
8,"Operator([[ 0.99843817-0.02496616j, -0.01888383-0.04627438j],
          [ 0.01654748-0.04716035j,  0.99843817-0.02496616j]],
         input_dims=(2,), output_dims=(2,))"
9,"Operator([[ 0.99843817-0.02496616j,  0.04798213+0.01398688j],
          [-0.04722311+0.0163675j ,  0.99843817-0.02496616j]],
         input_dims=(2,), output_dims=(2,))"
