,unitary
0,"Operator([[ 0.99230021-0.05518458j, -0.10665405+0.03032938j],
          [ 0.10935937+0.01831627j,  0.99230021-0.05518458j]],
         input_dims=(2,), output_dims=(2,))"
1,"Operator([[ 0.99230021-0.05518458j, -0.10864931+0.02214238j],
          [ 0.11043453+0.00995851j,  0.99230021-0.05518458j]],
         input_dims=(2,), output_dims=(2,))"
2,"Operator([[0.99230021-0.05518458j, 0.00615698+0.11071156j],
          [0.00615698+0.11071156j, 0.99230021-0.05518458j]],
         input_dims=(2,), output_dims=(2,))"
3,"Operator([[0.99230021-0.05518458j, 0.00615698+0.11071156j],
          [0.00615698+0.11071156j, 0.99230021-0.05518458j]],
         input_dims=(2,), output_dims=(2,))"
4,"Operator([[ 0.99230021-0.05518458j, -0.10710035+0.02871364j],
          [ 0.10962376+0.01666101j,  0.99230021-0.05518458j]],
         input_dims=(2,), output_dims=(2,))"
5,"Operator([[ 0.99230021-0.05518458j, -0.10546938+0.03422233j],
          [ 0.10861366+0.02231658j,  0.99230021-0.05518458j]],
         input_dims=(2,), output_dims=(2,))"
6,"Operator([[ 0.99230021-0.05518458j, -0.10105414+0.04564009j],
          [ 0.10549169+0.0341535j ,  0.99230021-0.05518458j]],
         input_dims=(2,), output_dims=(2,))"
7,"Operator([[ 0.99230021-0.05518458j, -0.09562855+0.05612609j],
          [ 0.10126227+0.04517644j,  0.99230021-0.05518458j]],
         input_dims=(2,), output_dims=(2,))"
8,"Operator([[ 0.99230021-0.05518458j, -0.09567462+0.05604752j],
          [ 0.10129934+0.04509325j,  0.99230021-0.05518458j]],
         input_dims=(2,), output_dims=(2,))"
9,"Operator([[ 0.99230021-0.05518458j, -0.09034477+0.06428669j],
          [ 0.09691594+0.0538726j ,  0.99230021-0.05518458j]],
         input_dims=(2,), output_dims=(2,))"
