,unitary
0,"Operator([[ 0.90789321-0.17879381j, -0.22415658-0.3058047j ],
          [ 0.09146995-0.36796187j,  0.90789321-0.17879381j]],
         input_dims=(2,), output_dims=(2,))"
1,"Operator([[ 0.90789321-0.17879381j, -0.12402076+0.3583037j ],
          [ 0.25061485+0.28452572j,  0.90789321-0.17879381j]],
         input_dims=(2,), output_dims=(2,))"
2,"Operator([[ 0.90789321-0.17879381j, -0.37081099+0.07913217j],
          [ 0.37312666-0.06737344j,  0.90789321-0.17879381j]],
         input_dims=(2,), output_dims=(2,))"
3,"Operator([[ 0.90789321-0.17879381j,  0.36433969-0.10497273j],
          [-0.3769363 +0.04100871j,  0.90789321-0.17879381j]],
         input_dims=(2,), output_dims=(2,))"
4,"Operator([[ 0.90789321-0.17879381j,  0.32291712-0.19871392j],
          [-0.37414967-0.06143872j,  0.90789321-0.17879381j]],
         input_dims=(2,), output_dims=(2,))"
5,"Operator([[ 0.90789321-0.17879381j, -0.19064576+0.32774515j],
          [ 0.30067843+0.23098738j,  0.90789321-0.17879381j]],
         input_dims=(2,), output_dims=(2,))"
6,"Operator([[0.90789321-0.17879381j, 0.12690986+0.3572906j ],
          [0.01803687+0.37873125j, 0.90789321-0.17879381j]],
         input_dims=(2,), output_dims=(2,))"
7,"Operator([[ 0.90789321-0.17879381j, -0.35534479+0.13226024j],
          [ 0.37895938-0.01234822j,  0.90789321-0.17879381j]],
         input_dims=(2,), output_dims=(2,))"
8,"Operator([[ 0.90789321-0.17879381j, -0.37486551+0.05690814j],
          [ 0.36845197-0.08947533j,  0.90789321-0.17879381j]],
         input_dims=(2,), output_dims=(2,))"
9,"Operator([[ 0.90789321-0.17879381j, -0.0549759 -0.37515375j],
          [-0.09137259-0.36798606j,  0.90789321-0.17879381j]],
         input_dims=(2,), output_dims=(2,))"
