unitary
"Operator([[ 0.94460909-0.1427637j , -0.21942098-0.19795613j],
          [ 0.15112083-0.25395804j,  0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.94460909-0.1427637j , -0.19474077-0.22227961j],
          [ 0.12035485-0.26990166j,  0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.94460909-0.1427637j , -0.21585192-0.20184187j],
          [ 0.14656286-0.25661551j,  0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.94460909-0.1427637j ,  0.0268445 -0.29429843j],
          [-0.11261666-0.27322094j,  0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.94460909-0.1427637j , -0.10516625-0.27617432j],
          [ 0.01885406-0.29491815j,  0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
