,unitary
0,"Operator([[ 0.97517033-0.0978434j ,  0.02158157-0.19749364j],
          [-0.0603873 -0.18926932j,  0.97517033-0.0978434j ]],
         input_dims=(2,), output_dims=(2,))"
1,"Operator([[ 0.97517033-0.0978434j ,  0.14413042-0.13673305j],
          [-0.16842207-0.1053732j ,  0.97517033-0.0978434j ]],
         input_dims=(2,), output_dims=(2,))"
2,"Operator([[0.97517033-0.0978434j , 0.01983384+0.19767681j],
          [0.01983384+0.19767681j, 0.97517033-0.0978434j ]],
         input_dims=(2,), output_dims=(2,))"
3,"Operator([[ 0.97517033-0.0978434j ,  0.14616449-0.13455648j],
          [-0.16998317-0.10283591j,  0.97517033-0.0978434j ]],
         input_dims=(2,), output_dims=(2,))"
4,"Operator([[ 0.97517033-0.0978434j ,  0.19369378-0.04418398j],
          [-0.1986108 -0.00482223j,  0.97517033-0.0978434j ]],
         input_dims=(2,), output_dims=(2,))"
5,"Operator([[ 0.97517033-0.0978434j ,  0.19838374+0.01064866j],
          [-0.19231371+0.04984916j,  0.97517033-0.0978434j ]],
         input_dims=(2,), output_dims=(2,))"
6,"Operator([[ 0.97517033-0.0978434j ,  0.19133938+0.05346722j],
          [-0.17690304+0.0904147j ,  0.97517033-0.0978434j ]],
         input_dims=(2,), output_dims=(2,))"
7,"Operator([[ 0.97517033-0.0978434j ,  0.18796992+0.06431804j],
          [-0.17144502+0.10037982j,  0.97517033-0.0978434j ]],
         input_dims=(2,), output_dims=(2,))"
8,"Operator([[ 0.97517033-0.0978434j ,  0.19852537-0.00756172j],
          [-0.19607036+0.03202992j,  0.97517033-0.0978434j ]],
         input_dims=(2,), output_dims=(2,))"
9,"Operator([[ 0.97517033-0.0978434j ,  0.19866768+0.0008098j ],
          [-0.19454667+0.04026283j,  0.97517033-0.0978434j ]],
         input_dims=(2,), output_dims=(2,))"
