,unitary
0,"Operator([[ 0.87775053-0.20089548j,  0.42368121+0.09843398j],
          [-0.33868713+0.27292132j,  0.87775053-0.20089548j]],
         input_dims=(2,), output_dims=(2,))"
1,"Operator([[ 0.87775053-0.20089548j,  0.39864226+0.17400967j],
          [-0.28326806+0.33008214j,  0.87775053-0.20089548j]],
         input_dims=(2,), output_dims=(2,))"
2,"Operator([[ 0.87775053-0.20089548j, -0.15972759+0.40457646j],
          [ 0.31980306+0.2948237j ,  0.87775053-0.20089548j]],
         input_dims=(2,), output_dims=(2,))"
3,"Operator([[ 0.87775053-0.20089548j, -0.26763326-0.34288111j],
          [ 0.09184813-0.42515754j,  0.87775053-0.20089548j]],
         input_dims=(2,), output_dims=(2,))"
4,"Operator([[ 0.87775053-0.20089548j,  0.39088013+0.19080812j],
          [-0.26897193+0.341832j  ,  0.87775053-0.20089548j]],
         input_dims=(2,), output_dims=(2,))"
5,"Operator([[ 0.87775053-0.20089548j,  0.35882477-0.24584507j],
          [-0.43003686-0.06529408j,  0.87775053-0.20089548j]],
         input_dims=(2,), output_dims=(2,))"
6,"Operator([[ 0.87775053-0.20089548j,  0.26847603-0.34222162j],
          [-0.39060307-0.19137464j,  0.87775053-0.20089548j]],
         input_dims=(2,), output_dims=(2,))"
7,"Operator([[ 0.87775053-0.20089548j,  0.36141551+0.24202034j],
          [-0.22016504+0.3751298j ,  0.87775053-0.20089548j]],
         input_dims=(2,), output_dims=(2,))"
8,"Operator([[ 0.87775053-0.20089548j, -0.42828117+0.0759622j ],
          [ 0.41868548-0.1178876j ,  0.87775053-0.20089548j]],
         input_dims=(2,), output_dims=(2,))"
9,"Operator([[ 0.87775053-0.20089548j,  0.36717272+0.2331935j ],
          [-0.22918847+0.36968589j,  0.87775053-0.20089548j]],
         input_dims=(2,), output_dims=(2,))"
