unitary
"Operator([[ 0.85030065-0.2171174j , -0.20159462+0.43498098j],
          [ 0.38545692+0.28508211j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j ,  0.216609  -0.42770245j],
          [-0.39514376-0.27149633j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j , -0.44662058-0.17429546j],
          [ 0.30838474-0.36707997j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j , -0.41087293+0.24704712j],
          [ 0.47901562+0.01982127j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j , -0.13242559-0.4607736j ],
          [-0.10469224-0.46785509j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j , -0.2048488 +0.43345797j],
          [ 0.38758256+0.28218541j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j , -0.20280665-0.43441721j],
          [-0.03029113-0.47846765j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j , -0.16112933+0.45153758j],
          [ 0.35788294+0.31901199j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
