,unitary
0,"Operator([[ 0.96939523-0.10815603j, -0.09511931-0.1988152j ],
          [ 0.04896191-0.21489043j,  0.96939523-0.10815603j]],
         input_dims=(2,), output_dims=(2,))"
1,"Operator([[ 0.96939523-0.10815603j,  0.21136999-0.0624331j ],
          [-0.21993254-0.01431241j,  0.96939523-0.10815603j]],
         input_dims=(2,), output_dims=(2,))"
2,"Operator([[ 0.96939523-0.10815603j,  0.15581659+0.15587289j],
          [-0.11763104+0.18638161j,  0.96939523-0.10815603j]],
         input_dims=(2,), output_dims=(2,))"
3,"Operator([[ 0.96939523-0.10815603j,  0.09230037+0.20013947j],
          [-0.04592043+0.21556085j,  0.96939523-0.10815603j]],
         input_dims=(2,), output_dims=(2,))"
4,"Operator([[ 0.96939523-0.10815603j, -0.19926483+0.09417373j],
          [ 0.21512061+0.04794049j,  0.96939523-0.10815603j]],
         input_dims=(2,), output_dims=(2,))"
5,"Operator([[ 0.96939523-0.10815603j, -0.1304391 +0.17765362j],
          [ 0.16638607+0.14453664j,  0.96939523-0.10815603j]],
         input_dims=(2,), output_dims=(2,))"
6,"Operator([[ 0.96939523-0.10815603j, -0.12030395-0.18466761j],
          [ 0.07664536-0.20664137j,  0.96939523-0.10815603j]],
         input_dims=(2,), output_dims=(2,))"
7,"Operator([[ 0.96939523-0.10815603j, -0.18672062-0.11709216j],
          [ 0.15632233-0.15536568j,  0.96939523-0.10815603j]],
         input_dims=(2,), output_dims=(2,))"
8,"Operator([[ 0.96939523-0.10815603j, -0.02122986-0.21937287j],
          [-0.02764146-0.21865753j,  0.96939523-0.10815603j]],
         input_dims=(2,), output_dims=(2,))"
9,"Operator([[ 0.96939523-0.10815603j, -0.06766679+0.20975312j],
          [ 0.11223198+0.1896817j ,  0.96939523-0.10815603j]],
         input_dims=(2,), output_dims=(2,))"
