,unitary
0,"Operator([[ 0.9318629 -0.1567647j ,  0.25094377-0.20996094j],
          [-0.30582916-0.11629658j,  0.9318629 -0.1567647j ]],
         input_dims=(2,), output_dims=(2,))"
1,"Operator([[0.9318629 -0.1567647j , 0.03902417+0.32485918j],
          [0.06941604+0.31974643j, 0.9318629 -0.1567647j ]],
         input_dims=(2,), output_dims=(2,))"
2,"Operator([[ 0.9318629 -0.1567647j ,  0.31334353-0.09419236j],
          [-0.32691539+0.01351662j,  0.9318629 -0.1567647j ]],
         input_dims=(2,), output_dims=(2,))"
3,"Operator([[ 0.9318629 -0.1567647j , -0.32162053+0.06013822j],
          [ 0.32359446-0.0484045j ,  0.9318629 -0.1567647j ]],
         input_dims=(2,), output_dims=(2,))"
4,"Operator([[ 0.9318629 -0.1567647j , -0.31420835+0.091266j  ],
          [ 0.32677511-0.01656486j,  0.9318629 -0.1567647j ]],
         input_dims=(2,), output_dims=(2,))"
5,"Operator([[ 0.9318629 -0.1567647j ,  0.14348253-0.29405634j],
          [-0.23179849-0.23092386j,  0.9318629 -0.1567647j ]],
         input_dims=(2,), output_dims=(2,))"
6,"Operator([[ 0.9318629 -0.1567647j ,  0.24526701-0.21656515j],
          [-0.30262573-0.12439468j,  0.9318629 -0.1567647j ]],
         input_dims=(2,), output_dims=(2,))"
7,"Operator([[ 0.9318629 -0.1567647j ,  0.30341108-0.12246667j],
          [-0.32678085-0.01645124j,  0.9318629 -0.1567647j ]],
         input_dims=(2,), output_dims=(2,))"
8,"Operator([[ 0.9318629 -0.1567647j ,  0.32703686+0.01016163j],
          [-0.30571093+0.11660703j,  0.9318629 -0.1567647j ]],
         input_dims=(2,), output_dims=(2,))"
9,"Operator([[ 0.9318629 -0.1567647j ,  0.31072527-0.10249964j],
          [-0.32715934+0.00480992j,  0.9318629 -0.1567647j ]],
         input_dims=(2,), output_dims=(2,))"
