,unitary
0,"Operator([[ 0.88064867-0.19898603j, -0.19132464-0.38504202j],
          [ 0.00718612-0.42989631j,  0.88064867-0.19898603j]],
         input_dims=(2,), output_dims=(2,))"
1,"Operator([[ 0.88064867-0.19898603j, -0.21345526-0.37322825j],
          [ 0.03224616-0.42874545j,  0.88064867-0.19898603j]],
         input_dims=(2,), output_dims=(2,))"
2,"Operator([[ 0.88064867-0.19898603j,  0.09348875-0.41966931j],
          [-0.26484578-0.33870221j,  0.88064867-0.19898603j]],
         input_dims=(2,), output_dims=(2,))"
3,"Operator([[ 0.88064867-0.19898603j,  0.38450327-0.19240506j],
          [-0.42987443-0.00839321j,  0.88064867-0.19898603j]],
         input_dims=(2,), output_dims=(2,))"
4,"Operator([[0.88064867-0.19898603j, 0.09476141+0.41938377j],
          [0.09476141+0.41938377j, 0.88064867-0.19898603j]],
         input_dims=(2,), output_dims=(2,))"
5,"Operator([[ 0.88064867-0.19898603j, -0.20555611-0.37763628j],
          [ 0.02321914-0.42932895j,  0.88064867-0.19898603j]],
         input_dims=(2,), output_dims=(2,))"
6,"Operator([[ 0.88064867-0.19898603j,  0.03957372-0.42813128j],
          [-0.21980689-0.36952322j,  0.88064867-0.19898603j]],
         input_dims=(2,), output_dims=(2,))"
7,"Operator([[ 0.88064867-0.19898603j,  0.2580221 -0.34392888j],
          [-0.38082957-0.19957783j,  0.88064867-0.19898603j]],
         input_dims=(2,), output_dims=(2,))"
8,"Operator([[ 0.88064867-0.19898603j,  0.03437922-0.42857968j],
          [-0.21530983-0.37216146j,  0.88064867-0.19898603j]],
         input_dims=(2,), output_dims=(2,))"
