unitary
"Operator([[ 0.85030065-0.2171174j , -0.33751116+0.34049238j],
          [ 0.45943465+0.13699871j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j , -0.04776916-0.47703978j],
          [-0.18678367-0.44154355j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j , -0.08058579-0.47260425j],
          [-0.15585787-0.45338413j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j , -0.39216415-0.27578276j],
          [ 0.21193912-0.43003565j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j , -0.19382099-0.43850002j],
          [-0.04013419-0.47774271j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[0.85030065-0.2171174j , 0.0958285 +0.46975073j],
          [0.14111307+0.45818768j, 0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[0.85030065-0.2171174j , 0.11861178+0.46452136j],
          [0.11861178+0.46452136j, 0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[0.85030065-0.2171174j , 0.11861178+0.46452136j],
          [0.11861178+0.46452136j, 0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[0.85030065-0.2171174j , 0.160511  +0.45175775j],
          [0.07572255+0.4734078j , 0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j , -0.38907018-0.28013076j],
          [ 0.20713936-0.43236805j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
